Order, Latitude, Longitude
6, 40.758688, -73.981221
6, 40.758684, -73.98132599999998
6, 40.758918, -73.98141599999998
6, 40.759065, -73.981522
6, 40.75884, -73.981452
6, 40.758668, -73.98135499999998
6, 40.759407, -73.98187799999998
6, 40.759348, -73.981847
6, 40.758509, -73.98146199999998
6, 40.758602, -73.98141699999998
6, 40.758698, -73.981617
6, 40.758451, -73.981468
6, 40.758862, -73.981617
6, 40.758528, -73.98169
6, 40.758374, -73.98194599999998
6, 40.758348, -73.981807
6, 40.758224, -73.981747
6, 40.758172, -73.9818
6, 40.758145, -73.981977
6, 40.758198, -73.98191099999998
6, 40.758095, -73.981767
6, 40.757955, -73.981813
6, 40.757984, -73.98177599999998
6, 40.757893, -73.981807
6, 40.75799, -73.982037
6, 40.758223, -73.982259
6, 40.757902, -73.981953
6, 40.757805, -73.981645
6, 40.757768, -73.981802
6, 40.757715, -73.982084
6, 40.757793, -73.981443
6, 40.757792, -73.981451
6, 40.757448, -73.982139
6, 40.757518, -73.982208
6, 40.757467, -73.98204
6, 40.75741, -73.982375
6, 40.757421, -73.98220399999998
6, 40.757374, -73.98212599999998
6, 40.757515, -73.982408
6, 40.757332, -73.98182699999998
6, 40.757159, -73.98240599999998
6, 40.75712, -73.98203499999998
6, 40.757613, -73.982612
6, 40.756935, -73.982118
6, 40.757067, -73.98207499999998
6, 40.757193, -73.981807
6, 40.757017, -73.98235599999998
