unnamed, Latitude, Longitude
0, 40.764094, -73.98130399999998
0, 40.763876, -73.98138
0, 40.764058, -73.981012
0, 40.76394, -73.981065
0, 40.764191, -73.981121
0, 40.764053, -73.98158999999998
0, 40.763992, -73.981142
0, 40.763659, -73.981375
0, 40.763653, -73.981335
0, 40.763748, -73.98112999999998
0, 40.76425, -73.980935
0, 40.763947, -73.980743
0, 40.764115, -73.98072999999998
0, 40.763957, -73.980963
0, 40.763954, -73.98087099999998
0, 40.764313, -73.981069
0, 40.764185, -73.98077999999998
0, 40.763713, -73.981109
0, 40.764453, -73.981178
0, 40.764384, -73.980925
0, 40.76366, -73.98165799999998
0, 40.763547, -73.981257
0, 40.763525, -73.981458
0, 40.764477, -73.98095499999998
0, 40.764308, -73.980683
0, 40.764432, -73.98076299999998
0, 40.76433, -73.98067
0, 40.764177, -73.980692
0, 40.763886, -73.98054399999998
0, 40.763958, -73.980615
0, 40.764068, -73.98046499999998
0, 40.764565, -73.981147
0, 40.764558, -73.980782
0, 40.763573, -73.981775
0, 40.763857, -73.981864
0, 40.763324, -73.981125
0, 40.764743, -73.98108499999998
0, 40.764699, -73.980897
0, 40.764625, -73.980654
0, 40.764667, -73.98067799999998
0, 40.764626, -73.98056099999998
0, 40.764064, -73.98039099999998
0, 40.763787, -73.980312
0, 40.76392, -73.980248
0, 40.764138, -73.98030699999998
0, 40.764723, -73.98064999999998
0, 40.764738, -73.98060099999998
0, 40.763258, -73.98087499999998
0, 40.763223, -73.98084799999998
0, 40.763253, -73.980879
0, 40.7649, -73.98089299999998
0, 40.765011, -73.98118599999998
0, 40.764877, -73.98080899999998
0, 40.764753, -73.980528
0, 40.764617, -73.98041499999998
0, 40.764788, -73.98057
0, 40.764757, -73.98046499999998
0, 40.764797, -73.98047699999998
0, 40.763691, -73.980248
0, 40.763532, -73.980232
0, 40.76352, -73.980222
0, 40.76386, -73.98003
0, 40.763685, -73.980067
0, 40.76381, -73.97999699999998
0, 40.764382, -73.980278
0, 40.764333, -73.98022299999998
0, 40.763034, -73.980886
0, 40.764635, -73.98019999999998
0, 40.765055, -73.980458
0, 40.76349, -73.979968
0, 40.764504, -73.980097
0, 40.764297, -73.979927
0, 40.765195, -73.98030699999998
0, 40.76338, -73.979836
0, 40.763294, -73.979786
0, 40.765453, -73.980293
0, 40.765322, -73.98019499999998
